author,email,papers,tags
"Macreadie, Peter I.
",,[],[]
"Costa, Micheli D. P. ",,[],[]
"Maezumi, S. Yoshi ",,[],[]
"Alves, Daiana ",,[],[]
"Mahecha, M.D.
",,[],[]
"Bastos, A. ",,[],[]
"Mahowald, Natalie M.",,[],[]
"Ward, Daniel S.",,[],[]
RFI,,[],[]
"Malhi, Yadvinder",,[],[]
"Lander, Tonya ",,[],[]
"Markandya, Anil ",,[],[]
"González-Eguino, Mikel  ",,[],[]
Market & Markets,,[],[]
Martin et al.,,[],[]
"Marvin, David C.
",,[],[]
"Sleeter, Benjamin M. ",,[],[]
"Matthews, H. Damon ",,[],[]
"Zickfeld, Kirsten ",,[],[]
"Mayer, Allegra 
",,[],[]
"Silver, Whendee L. ",,[],[]
"Hausfather, Zeke ",,[],[]
"Mbow, Cheikh ",,[],[]
"Rosenzweig, Cynthia ",,[],[]
"McAlpine, Clive A.",,[],[]
"Johnson, Alex ",,[],[]
"McDonald, Robert I.",,[],[]
"Weber, Katherine ",,[],[]
"McKenna, Catherine ",,[],[]
"McNicol, Iain M. ",,[],[]
"Ryan, Casey M. ",,[],[]
"McRae, Brad",,[],[]
"Popper, Ken",,[],[]
"Mehrabi, Zia ",,[],[]
"Ellis, Erle C. ",,[],[]
"Meinshausen, Malte 
",,[],[]
"Schleussner, Carl-Friedrich ",,[],[]
"Mekuria, Wolde",,[],[]
"Simon, Langan ",,[],[]
"Mercado, Lina M. ",,[],[]
"Medlyn, Belinda E. ",,[],[]
"Meyfroidt, Patrick ",,[],[]
"de Bremond, Ariane ",,[],[]
"Mildrexler, David Joseph
",,[],[]
"Berner, Logan T.",,[],[]
"Mirzabaev, Alisher",,[],[]
"Wu, Jianguo ",,[],[]
"Mo, Lidong
",,[],[]
"Zohner, Constantin M. ",,[],[]
"Moebius-Clune, B.N.",,[],[]
"Moebius-Clune, D.J.",,[],[]
"Monahan, William B. ",,[],[]
"Theobald, David M. ",,[],[]
"Montgomery, David R. ",,[],[]
"Biklé, Anne ",,[],[]
"Moomaw, William R. 
",,[],[]
"Masino, Susan A. ",,[],[]
"Moore, Frances C. ",,[],[]
"Lacasse, Katherine ",,[],[]
"Moran, Daniel",,[],[]
"Wood, Richard ",,[],[]
"Morley, James W.",,[],[]
"Selden, Rebecca L. ",,[],[]
"Mottram, Ruth ",,[],[]
"Mozaffarian, Dariush",,[],[]
"El-Abbadi, Naglaa H. ",,[],[]
"Muffett, Carroll ",,[],[]
"Feit, Steven ",,[],[]
"Müller, Jörg",,[],[]
"Mitesser, Oliver ",,[],[]
"Myers, Samuel S. ",,[],[]
"Zanobetti, Antonella ",,[],[]
"Naidoo, R. ",,[],[]
"Gerkey, D. ",,[],[]
"Narango, Desiree L.",,[],[]
"Tallamy, Douglas W. ",,[],[]
"Wessler, Susan R. ",,[],[]
"Floros, John D.",,[],[]
"Schimel, David ",,[],[]
"Fisher, Joshua",,[],[]
National Parks Service,,[],[]
Nature Communications,,[],[]
"Nave, L. E. ",,[],[]
"Walters, B. F. ",,[],[]
"Nijsse, Femke J. M. M. 
",,[],[]
"Mercure, Jean-Francois ",,[],[]
"Noon, Monica L. ",,[],[]
"Goldstein, Allie ",,[],[]
"National Academies of Sciences, Engineering, and Medicine",,[],[]
d,,[],[]
"Winther-Janson, Marit ",,[],[]
"Oldfield, Emily E.",,[],[]
"Eagle, Alison J. ",,[],[]
"Olsson, Lennart",,[],[]
"Barbosa, Humberto ",,[],[]
"Ortiz-Bobea, Ariel",,[],[]
"Ault, Toby R. 
",,[],[]
"Ory, Joanna",,[],[]
"Schonbeck, Mark",,[],[]
"Ostfeld, Richard S.",,[],[]
"Levi, Taal ",,[],[]
"McMahon, Paul",,[],[]
"Palfrey, Rachel ",,[],[]
"Oldekop, Johan A. ",,[],[]
"Paniagua-Ramierez, Alexandra",,[],[]
"Krupinska, Oliwia",,[],[]
"Park, Chang-Eui ",,[],[]
"Jeong, Su-Jong ",,[],[]
"Parrott, Susan",,[],[]
"Brock, Karen",,[],[]
"Balvanera, Patricia ",,[],[]
"Paustian, Keith ",,[],[]
"Lehmann, Johannes ",,[],[]
"Collier, Sarah ",,[],[]
"Pearson, Pam ",,[],[]
"Peters, Marcell K.",,[],[]
